cod_ibge,municipio_x,fatal_crashes,deaths,truck_fatal,truck_deaths,municipio_y,pop_2022,deaths_per_100k_11yr,truck_share_pct
3526308,LAGOINHA,10,12,1,1.0,Lagoinha,5083,236.1,10.0
3546504,SANTA ERNESTINA,12,12,3,3.0,Santa Ernestina,6118,196.1,25.0
3514304,DOURADO,11,12,3,4.0,Dourado,8096,148.2,27.3
3540754,POTIM,11,11,0,0.0,Potim,20392,53.9,0.0
3555208,TURIUBA,9,11,1,1.0,Turiúba,1818,605.1,11.1
3519501,IBIRAREMA,10,11,2,2.0,Ibirarema,6385,172.3,20.0
3541703,QUATA,11,11,5,5.0,Quatá,13163,83.6,45.5
3510153,CANITAR,11,11,4,4.0,Canitar,6283,175.1,36.4
3545506,SANDOVALINA,11,11,1,1.0,Sandovalina,3645,301.8,9.1
3503109,ARANDU,10,11,4,4.0,Arandu,6885,159.8,40.0
3525409,JERIQUARA,9,11,2,4.0,Jeriquara,3863,284.8,22.2
3543204,RIBEIRAO DO SUL,10,11,2,2.0,Ribeirão do Sul,4677,235.2,20.0
3545159,SALTINHO,11,11,1,1.0,Saltinho,8161,134.8,9.1
3509106,CAIUA,8,10,0,0.0,Caiuá,5466,182.9,0.0
3527900,LUTECIA,9,10,1,1.0,Lutécia,2661,375.8,11.1
3531605,MONTE CASTELO,10,10,4,4.0,Monte Castelo,4222,236.9,40.0
3524907,JAMBEIRO,9,10,2,2.0,Jambeiro,6397,156.3,22.2
3525805,JULIO MESQUITA,5,10,3,3.0,Júlio Mesquita,4254,235.1,60.0
3532058,MOTUCA,8,10,2,4.0,Motuca,4034,247.9,25.0
3508900,CAIABU,7,10,1,1.0,Caiabu,3712,269.4,14.3
3503604,AREIOPOLIS,9,10,3,4.0,Areiópolis,10130,98.7,33.3
3555307,TURMALINA,6,10,3,4.0,Turmalina,1669,599.2,50.0
3540259,PONTALINDA,10,10,3,3.0,Pontalinda,4127,242.3,30.0
3519204,IACRI,9,10,0,0.0,Iacri,6131,163.1,0.0
3502002,ANALANDIA,9,10,3,4.0,Analândia,4589,217.9,33.3
3556958,VITORIA BRASIL,9,10,3,3.0,Vitória Brasil,1794,557.4,33.3
3533254,NOVAIS,8,10,2,3.0,Novais,4412,226.7,25.0
3524204,JABORANDI,9,10,1,1.0,Jaborandi,6221,160.7,11.1
3527801,LUPERCIO,8,9,4,5.0,Lupércio,3981,226.1,50.0
3530409,MIRASSOLANDIA,9,9,0,0.0,Mirassolândia,4669,192.8,0.0
3545704,SANTA ALBERTINA,8,9,0,0.0,Santa Albertina,6393,140.8,0.0
3505351,BARRA DO CHAPEU,8,9,1,2.0,Barra do Chapéu,5179,173.8,12.5
3501103,ALTO ALEGRE,8,9,1,1.0,Alto Alegre,3841,234.3,12.5
3500808,ALFREDO MARCONDES,6,9,2,2.0,Alfredo Marcondes,4445,202.5,33.3
3505005,BARAO DE ANTONINA,9,9,1,1.0,Barão de Antonina,3531,254.9,11.1
3554201,TEJUPA,9,9,1,1.0,Tejupá,4127,218.1,11.1
3507456,BOREBI,8,9,2,3.0,Borebi,2713,331.7,25.0
3542305,REDENCAO DA SERRA,7,9,0,0.0,Redenção da Serra,4494,200.3,0.0
